method,coverage_identified_lower_mean,coverage_identified_lower_median,coverage_identified_lower_lower_95,coverage_identified_lower_upper_95,coverage_identified_lower_positive_fraction,coverage_identified_upper_mean,coverage_identified_upper_median,coverage_identified_upper_lower_95,coverage_identified_upper_upper_95,coverage_identified_upper_positive_fraction,certain_miss_fraction_mean,certain_miss_fraction_median,certain_miss_fraction_lower_95,certain_miss_fraction_upper_95,certain_miss_fraction_positive_fraction,ambiguous_fraction_mean,ambiguous_fraction_median,ambiguous_fraction_lower_95,ambiguous_fraction_upper_95,ambiguous_fraction_positive_fraction,resolved_fraction_mean,resolved_fraction_median,resolved_fraction_lower_95,resolved_fraction_upper_95,resolved_fraction_positive_fraction,mean_lpb_mean,mean_lpb_median,mean_lpb_lower_95,mean_lpb_upper_95,mean_lpb_positive_fraction,geometric_mean_lpb_mean,geometric_mean_lpb_median,geometric_mean_lpb_lower_95,geometric_mean_lpb_upper_95,geometric_mean_lpb_positive_fraction,median_lpb_mean,median_lpb_median,median_lpb_lower_95,median_lpb_upper_95,median_lpb_positive_fraction,heldout_interval_nll_mean,heldout_interval_nll_median,heldout_interval_nll_lower_95,heldout_interval_nll_upper_95,heldout_interval_nll_positive_fraction,target_compatibility_fraction
naive_upper,0.48445161290322586,0.5376344086021505,0.17204301075268819,0.7311827956989247,1.0,0.8887311827956988,0.8924731182795699,0.8330645161290322,0.9247311827956989,1.0,0.11126881720430105,0.10752688172043011,0.07526881720430108,0.16693548387096752,1.0,0.4042795698924731,0.3548387096774194,0.18279569892473113,0.6989247311827956,1.0,0.595720430107527,0.6451612903225806,0.3010752688172043,0.8172043010752689,1.0,39.90585539102661,39.97422271731905,31.89616930598442,49.247949247501865,1.0,36.17490554596069,36.44319258354416,29.25144551982169,43.69130863863198,1.0,51.64584141112305,51.540385057134515,41.00000000000001,64.48858082322462,1.0,0.9636851319476494,0.9500418945694529,0.8542357340840799,1.1406846257495773,1.0,0.35
midpoint,0.3655483870967742,0.26344086021505375,0.20430107526881722,0.7634408602150538,1.0,0.9135268817204301,0.9139784946236559,0.8924731182795699,0.9247311827956989,1.0,0.08647311827956988,0.08602150537634409,0.07526881720430108,0.10752688172043011,1.0,0.5479784946236559,0.6451612903225806,0.16129032258064516,0.7096774193548386,1.0,0.45202150537634406,0.3548387096774194,0.2903225806451613,0.8387096774193549,1.0,41.946397458098076,41.96519922691196,30.84252268360791,52.34305821571438,1.0,34.559503847502306,34.79599999839641,25.7254002429298,42.191571789772375,1.0,57.99059260344274,57.87047188819579,42.275106776827315,73.28451882453872,1.0,0.9074924363261938,0.9040112123728503,0.8084752193605221,1.0213477836575542,1.0,0.966
interval_aware,0.27399999999999997,0.24731182795698925,0.1935483870967742,0.650806451612903,1.0,0.9123225806451613,0.9139784946236559,0.8924731182795699,0.9139784946236559,1.0,0.0876774193548387,0.08602150537634409,0.08602150537634409,0.10752688172043011,1.0,0.6383225806451615,0.6666666666666666,0.26881720430107525,0.7204301075268816,1.0,0.3616774193548387,0.33333333333333337,0.27956989247311825,0.7311827956989247,1.0,47.26027414241199,47.55925574806041,35.5080411016485,58.79958498497812,1.0,37.519060730060936,37.709319783765466,29.467953235707874,44.77726721509806,1.0,66.43207234284144,66.79620847759028,49.041728657156696,83.66908593327203,1.0,0.9066436674388118,0.9050360701273418,0.8067883439438979,1.0173367783033938,1.0,0.968
