branch,classification,certain_cover_gain_mean,certain_cover_gain_median,certain_cover_gain_lower_95,certain_cover_gain_upper_95,certain_cover_gain_positive_fraction,certain_miss_reduction_mean,certain_miss_reduction_median,certain_miss_reduction_lower_95,certain_miss_reduction_upper_95,certain_miss_reduction_positive_fraction,interval_nll_improvement_mean,interval_nll_improvement_median,interval_nll_improvement_lower_95,interval_nll_improvement_upper_95,interval_nll_improvement_positive_fraction,geometric_lpb_ratio_mean,geometric_lpb_ratio_median,geometric_lpb_ratio_lower_95,geometric_lpb_ratio_upper_95,geometric_lpb_ratio_positive_fraction,target_compatibility_gain_mean,target_compatibility_gain_median,target_compatibility_gain_lower_95,target_compatibility_gain_upper_95,target_compatibility_gain_positive_fraction,check_replicate_completion,check_proper_score_mean_improves,check_proper_score_lower_95_positive,check_proper_score_directional_breadth,check_certain_miss_noninferiority,check_informativeness_retained,check_target_compatibility
midpoint,neutral,0.11023809523809525,0.1071428571428571,0.011904761904761862,0.25,0.982,0.08638095238095238,0.08333333333333333,0.0,0.20238095238095238,0.972,0.061173906670706046,0.05753948276061793,-0.034489774589866504,0.18817172118541148,0.85,0.6916428088402194,0.7024850069482735,0.5154404945329636,0.7705319990381274,1.0,0.418,0.0,-1.0,1.0,0.45,True,True,False,True,True,False,True
interval_aware,neutral,0.0954047619047619,0.09523809523809523,0.0,0.2142857142857143,0.968,0.08097619047619048,0.07142857142857144,0.0,0.19047619047619047,0.97,0.060215073860639394,0.05612772794529264,-0.03998535476519886,0.18816682694888512,0.842,0.7236088332339728,0.7243821209566292,0.6639625431131363,0.7726218327955963,1.0,0.418,0.0,0.0,1.0,0.43,True,True,False,True,True,False,True
